Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.05310292,0.07745139,0.2901244,0.01028929,0.9814237,0.1541876,6.586974,-24.04662,-31.95331,1001.503
0.020183563,-0.1756534,0.07745139,-0.07607486,0.02272073,0.9902557,0.1616429,6.586974,-24.04662,-31.95331,1001.503
0.040367603,-0.1756534,-0.1018549,-0.01504164,0.02720707,0.9781727,0.1652899,6.586974,-24.04662,-31.95331,1001.503
0.060550690,0.2532734,-0.1018549,-0.2591745,0.03249898,0.9791477,0.1726002,6.225204,-24.41489,-31.95466,1001.503
0.080734730,0.2532734,-0.2811612,-0.2591745,0.01758554,0.9760584,0.1686683,6.225204,-24.41489,-31.95466,1001.503
0.100917816,0.1919981,-0.2811612,-0.2591745,0.004453888,0.9850726,0.1683794,6.59668,-24.41594,-31.95318,1001.503
0.121101856,0.008172336,-0.1018549,-0.1371081,-0.002837139,0.9899005,0.1592405,6.59668,-24.41594,-31.95318,1001.503
0.138762474,0.008172336,-0.4006987,-0.07607486,0.002503304,0.9871311,0.1533388,6.59668,-24.41594,-31.95318,1001.503
0.158946514,-0.05310292,-0.04208612,0.04599158,0.01311229,0.9872836,0.1538128,6.956806,-24.04922,-31.5127,1001.503
0.179129601,0.1307229,-0.1616236,0.04599158,0.01505219,0.9862809,0.1601157,6.956806,-24.04922,-31.5127,1001.503
0.199313641,-0.05310292,0.01768263,-0.01504164,0.01358842,0.987756,0.1557678,6.196086,-23.30694,-31.95505,1001.503
0.219496727,0.008172336,0.07745139,-0.07607486,0.01698686,0.9858155,0.1610769,6.196086,-23.30694,-31.95505,1001.503
0.239680767,-0.05310292,0.01768263,0.04599158,0.009741507,0.9866624,0.162564,5.852084,-24.41538,-31.51701,1001.503
0.259863854,-0.1756534,-0.2213924,-0.07607486,0.01608109,0.9809576,0.160982,5.852084,-24.41538,-31.51701,1001.502
0.280047894,-0.05310292,0.1969889,-0.1981413,0.01069428,0.9876502,0.1620956,5.852084,-24.41538,-31.51701,1001.502
0.300231457,0.06944759,0.1969889,0.1070248,0.005001498,0.9798195,0.1614624,6.606385,-24.78525,-31.95305,1001.502
0.320415020,-0.1143782,-0.2213924,-0.1371081,0.005878501,0.9871473,0.1567402,6.606385,-24.78525,-31.95305,1001.502
0.340598583,0.2532734,-0.04208612,0.1070248,0.01078267,0.9804139,0.1590327,6.58533,-24.04817,-31.51418,1001.502
0.360782623,0.06944759,-0.1616236,0.04599158,0.02761828,0.9839439,0.1702694,6.58533,-24.04817,-31.51418,1001.502
0.380965710,0.008172336,0.01768263,-0.07607486,0.02281517,0.9825496,0.157111,6.58533,-24.04817,-31.51418,1001.5
0.398626328,0.06944759,0.1372201,-0.07607486,0.01075844,0.9822887,0.1653955,6.213853,-24.04712,-31.51566,1001.5
0.418810368,0.06944759,-0.1616236,-0.01504164,0.008818774,0.9833106,0.1571466,6.213853,-24.04712,-31.51566,1001.504
0.438993454,0.06944759,-0.2213924,-0.1371081,0.0130998,0.9881896,0.1601564,5.842378,-24.04607,-31.51714,1001.504
0.459177494,0.06944759,-0.1018549,-0.1371081,0.01126961,0.9798402,0.1687524,5.842378,-24.04607,-31.51714,1001.502
0.479360581,0.2532734,-0.2213924,-0.3202077,0.01268067,0.982734,0.1722137,5.842378,-24.04607,-31.51714,1001.502
0.499544621,0.008172336,-0.4006987,-0.1981413,0.01131133,0.9765028,0.1633338,6.575624,-23.67885,-31.51431,1001.494
0.519727707,0.2532734,-0.5800049,-0.3202077,0.06224125,0.9928765,0.151905,6.575624,-23.67885,-31.51431,1001.494
0.539911747,0.3758239,-0.5202362,-0.6253738,0.02970086,1.011113,0.1698308,6.225204,-24.41489,-31.95466,1001.492
0.560095310,0.4983744,-0.7593112,-0.5033074,0.03625122,0.9879282,0.1722819,6.225204,-24.41489,-31.95466,1001.492
0.580278874,0.4370991,-0.5800049,-0.381241,-0.004250888,0.9867847,0.1781577,6.225204,-24.41489,-31.95466,1001.492
0.600462914,0.6209249,-0.5800049,-0.5033074,0.005819282,0.9919474,0.1612146,6.236553,-24.78265,-32.39367,1001.492
0.620646000,0.6822002,-1.058155,-0.1371081,-0.006689165,0.9893541,0.1597219,6.236553,-24.78265,-32.39367,1001.496
0.640830040,0.1919981,-1.596074,-0.1371081,0.006423541,0.9816819,0.1712289,6.223559,-24.41643,-31.51553,1001.496
