Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.07300324,-0.1370998,-0.003653544,0.01560555,0.9805338,0.1541621,12.02722,-23.69117,-32.37088,1001.09
0.020184040,0.07300324,-0.1370998,-0.1867532,0.004942278,0.9846196,0.1659367,11.70631,-23.32253,-31.93312,1001.09
0.040367603,-0.04954727,-0.4359436,-0.1867532,0.01705172,0.9805118,0.1585389,11.70631,-23.32253,-31.93312,1001.09
0.060551167,0.07300324,-0.2566373,-0.12572,0.01794046,0.9868709,0.1537976,11.33789,-23.31861,-32.75012,1001.09
0.080734730,-0.1108225,-0.01756229,0.1184129,0.01313008,0.9858451,0.1523245,11.33789,-23.31861,-32.75012,1001.094
0.100917816,0.01172798,-0.07733104,-0.12572,0.01024815,0.9848093,0.1547412,11.33789,-23.31861,-32.75012,1001.094
0.121101856,0.07300324,0.161744,-0.12572,0.008389195,0.9789299,0.1585203,11.34618,-23.68925,-32.3736,1001.092
0.141284942,0.01172798,-0.07733104,-0.003653544,0.02139161,0.9805617,0.1599932,11.34618,-23.68925,-32.3736,1001.092
0.161468983,0.07300324,0.04220647,-0.06468677,0.02280331,0.9835085,0.1581031,11.33789,-23.31861,-32.75012,1001.092
0.181652069,-0.04954727,-0.07733104,-0.003653544,0.02379718,0.9811059,0.1575675,11.33789,-23.31861,-32.75012,1001.092
0.201835632,0.01172798,-0.4359436,0.1184129,0.01748728,0.9844178,0.1561826,11.33789,-23.31861,-32.75012,1001.092
0.219496250,0.07300324,-0.1968686,0.05737968,0.01504743,0.986857,0.150882,12.00943,-23.0141,-32.37112,1001.092
0.239680290,0.07300324,0.3410503,0.05737968,0.007819858,0.9862652,0.1508809,12.00943,-23.0141,-32.37112,1001.092
0.259863376,0.01172798,0.2812815,-0.003653544,0.01265413,0.9853873,0.1489101,11.34595,-23.68947,-32.31086,1001.092
0.280047417,-0.04954727,0.161744,0.05737968,0.0155346,0.9863025,0.1586557,11.34595,-23.68947,-32.31086,1001.098
0.300230503,0.01172798,0.04220647,-0.12572,0.02524886,0.9805707,0.1648536,11.34595,-23.68947,-32.31086,1001.098
