Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.05613857,0.04184172,0.05570632,0.00933581,0.980378,0.1604939,6.194885,-23.37114,-31.20223,1001.204
0.020184040,0.1276872,0.1613792,-0.06636012,0.01364037,0.9833243,0.1629788,6.194885,-23.37114,-31.20223,1001.204
0.040368080,0.005136684,-0.07769579,-0.005326898,0.01755701,0.9785478,0.1619053,5.825054,-23.36855,-31.64284,1001.204
0.060551643,0.005136684,0.04184172,0.05570632,0.02132646,0.9858413,0.1649637,5.825054,-23.36855,-31.64284,1001.204
0.080735683,0.06641194,-0.1374646,-0.005326898,0.01171714,0.9827969,0.1644309,5.825054,-23.36855,-31.64284,1001.206
0.100919724,0.005136684,0.1613792,-0.06636012,0.008318587,0.9847276,0.1600949,5.815348,-22.99923,-31.64297,1001.206
0.121104240,0.005136684,-0.07769579,-0.06636012,0.004943271,0.9847016,0.1576664,5.815348,-22.99923,-31.64297,1001.204
0.141288281,-0.1786891,-0.1972333,-0.005326898,0.01558719,0.981924,0.1605153,5.512202,-23.37076,-30.76581,1001.204
0.161472321,0.06641194,-0.01792703,0.05570632,0.01845691,0.9838899,0.1620098,5.512202,-23.37076,-30.76581,1001.204
0.179132938,0.06641194,-0.01792703,-0.005326898,0.02378538,0.9820698,0.1580732,5.512202,-23.37076,-30.76581,1001.204
0.199316502,0.06641194,-0.07769579,0.05570632,0.01025913,0.9837779,0.1610464,5.831471,-23.74095,-30.76445,1001.204
0.219500542,0.005136684,-0.01792703,0.05570632,0.005890006,0.9861593,0.158667,5.831471,-23.74095,-30.76445,1001.204
0.239685059,0.06641194,-0.07769579,-0.06636012,0.01408169,0.9867365,0.1615859,5.82341,-23.37009,-31.20371,1001.206
0.259869099,0.005136684,-0.01792703,-0.06636012,0.01800978,0.980967,0.1629258,5.82341,-23.37009,-31.20371,1001.206
0.280053139,0.005136684,0.221148,-0.005326898,0.01361672,0.9852473,0.1644767,6.566361,-23.37219,-31.20075,1001.206
0.300237179,-0.1174138,-0.01792703,-0.1273933,0.01609911,0.9795384,0.1575478,6.566361,-23.37219,-31.20075,1001.206
0.320420742,0.005136684,-0.3765396,-0.06636012,0.0151042,0.9818541,0.1668403,6.566361,-23.37219,-31.20075,1001.206
0.340604782,0.1276872,-0.1972333,-0.005326898,0.01752127,0.9814104,0.1663413,6.194885,-23.37114,-31.20223,1001.206
0.360788822,0.1276872,-0.1972333,-0.005326898,0.0155518,0.9848157,0.1620324,6.194885,-23.37114,-31.20223,1001.208
0.380972862,-0.05613857,-0.3765396,0.1167395,0.01365281,0.9824136,0.1571217,6.576067,-23.74151,-31.20062,1001.208
0.401156902,0.06641194,-0.01792703,0.05570632,0.01594698,0.9921702,0.1539054,6.576067,-23.74151,-31.20062,1001.206
0.421340466,0.2502377,0.460223,-0.06636012,0.01022496,0.9867709,0.1523471,6.576067,-23.74151,-31.20062,1001.206
0.441524506,-0.05613857,0.04184172,0.1777728,0.003443759,0.9890393,0.1577544,6.196529,-23.3696,-31.64136,1001.206
0.459186077,-0.3012396,-0.1972333,-0.1273933,0.01269317,0.981828,0.1658701,6.196529,-23.3696,-31.64136,1001.206
0.479369640,-0.1174138,0.221148,-0.005326898,0.06893325,0.9977767,0.1563715,6.18518,-23.00183,-31.20236,1001.206
0.499553681,-0.1174138,-0.07769579,-0.1273933,0.02961851,0.9782327,0.1628546,6.18518,-23.00183,-31.20236,1001.206
0.519737721,0.3727882,-0.1374646,-0.005326898,0.01566197,0.975502,0.1730393,6.18518,-23.00183,-31.20236,1001.204
0.539921761,0.3727882,-0.9742271,-0.3715262,-0.01002509,0.9857977,0.1713345,6.194885,-23.37114,-31.20223,1001.204
0.560105324,0.06641194,-1.153533,-0.3715262,-0.01490508,0.9906518,0.1631657,6.194885,-23.37114,-31.20223,1001.202
0.580289364,-0.3625149,-1.631683,-0.2494598,-0.0375741,0.9909348,0.1495802,5.841204,-24.04717,-31.20348,1001.202
0.600473881,-0.7914416,-2.050065,-0.005326898,-0.02254758,0.9849518,0.1401946,5.841204,-24.04717,-31.20348,1001.202
0.620657921,-0.2399643,-1.273071,-0.1884266,0.05281359,0.9747931,0.1535073,5.841204,-24.04717,-31.20348,1001.204
0.640841961,-0.1786891,0.3406855,0.238806,0.1183637,0.9778792,0.1846137,6.564717,-23.37374,-30.76163,1001.204
0.661026001,0.2502377,1.117679,0.3608724,0.01185027,0.9695633,0.2775435,6.564717,-23.37374,-30.76163,1001.202
0.681210041,1.537018,4.524498,0.05570632,0.06391609,0.9700676,0.3533846,6.576067,-23.74151,-31.20062,1001.202
0.701393604,1.598293,5.062417,0.1167395,0.04763188,0.9635372,0.2058435,6.576067,-23.74151,-31.20062,1001.206
0.721577645,0.6791645,4.703804,0.788105,-0.0656729,0.8396536,0.2648679,6.576067,-23.74151,-31.20062,1001.206
0.739238739,0.3727882,5.480798,0.7270717,-0.1447906,0.9615539,0.2158185,6.566361,-23.37219,-31.20075,1001.206
0.759422779,0.3115129,5.600336,1.276371,-0.06561334,0.9547897,0.2345452,6.566361,-23.37219,-31.20075,1001.206
0.779606819,0.1276872,6.616405,1.215338,0.01409181,0.9450188,0.215258,6.18518,-23.00183,-31.20236,1001.206
0.799790859,-0.05613857,9.24623,1.703603,0.03246014,0.9817545,0.2028202,6.18518,-23.00183,-31.20236,1001.206
0.819974899,0.3115129,11.75652,2.008769,0.0443172,0.9984738,0.1958349,6.18518,-23.00183,-31.20236,1001.204
0.840158463,0.6178893,12.77259,1.947736,0.0364883,0.9677753,0.2015645,6.54695,-22.63356,-31.20101,1001.204
0.860342503,0.7404398,12.35421,1.703603,0.01480278,0.9657685,0.2249127,6.54695,-22.63356,-31.20101,1001.206
0.880526543,0.6791645,11.57721,1.947736,-0.01148439,0.9866725,0.1786527,6.926487,-23.00547,-30.76027,1001.206
0.900710583,0.3727882,11.27837,1.82567,0.0005371252,0.9898396,0.1704258,6.926487,-23.00547,-30.76027,1001.208
0.920894146,0.3727882,11.27837,1.886703,0.03811523,0.9932557,0.1753041,6.939481,-23.3717,-31.6384,1001.208
0.941078186,0.4953387,11.63698,1.703603,0.03144273,0.946443,0.1953106,6.939481,-23.3717,-31.6384,1001.206
0.961262703,1.230642,12.1749,1.520504,0.02195241,0.9744607,0.1408948,6.939481,-23.3717,-31.6384,1001.206
0.981446743,0.4340635,11.39791,1.764637,0.01724533,1.003198,0.2164048,6.937837,-23.37325,-31.19927,1001.206
1.001630783,1.720844,11.69675,1.82567,-0.004612044,0.8971342,0.1788169,6.937837,-23.37325,-31.19927,1001.206
1.019291401,0.3727882,11.93582,2.130836,0.01632285,0.961191,0.1513453,6.928132,-23.00393,-31.1994,1001.204
1.039475441,0.06641194,11.63698,2.130836,0.01959719,0.9703215,0.1150272,6.928132,-23.00393,-31.1994,1001.204
1.059659004,0.4953387,12.35421,2.069803,0.03592323,0.975463,0.1584112,6.928132,-23.00393,-31.1994,1001.204
1.079843044,0.7404398,12.1749,1.947736,0.002116967,0.9795385,0.1366451,6.918426,-22.63461,-31.19953,1001.204
1.100027561,0.6791645,10.91976,1.82567,-0.01003008,0.9863545,0.1640467,6.918426,-22.63461,-31.19953,1001.206
1.120211601,0.556614,9.963455,1.398437,0.03051388,0.9841702,0.1517793,6.947543,-23.74256,-31.19915,1001.206
1.140395641,0.6178893,9.365767,1.520504,0.04459444,1.016439,0.1436387,6.947543,-23.74256,-31.19915,1001.206
1.160579681,0.3115129,9.305999,1.337404,0.02790352,1.000631,0.1491894,6.947543,-23.74256,-31.19915,1001.206
1.180763722,0.4953387,9.126693,1.398437,0.03427129,0.9924083,0.1572893,7.310957,-23.37275,-31.63693,1001.208
1.200947285,0.2502377,8.230162,1.276371,0.02730463,0.9697553,0.1836134,7.310957,-23.37275,-31.63693,1001.208
1.221131325,0.6178893,8.050856,1.154304,0.01945798,0.9811139,0.1502753,7.319018,-23.74361,-31.19767,1001.208
1.241315365,0.6178893,7.034786,1.215338,0.007452503,0.9763635,0.1716087,7.319018,-23.74361,-31.19767,1001.208
1.261499405,0.6178893,6.915248,0.8491381,0.004274508,1.0003,0.1472712,7.319018,-23.74361,-31.19767,1001.21
1.279160500,0.3727882,6.198023,0.9101714,5.734719E-05,0.9900352,0.1499937,7.693783,-23.74157,-32.07445,1001.21
1.299344540,0.3727882,6.018717,1.093271,0.003305173,1.000852,0.1390115,7.693783,-23.74157,-32.07445,1001.208
1.319528580,0.06641194,5.719873,0.9101714,0.03233779,0.9929702,0.1465983,7.680789,-23.37535,-31.19632,1001.208
1.339712143,0.2502377,5.660105,0.7270717,0.02963241,0.9774425,0.1448352,7.680789,-23.37535,-31.19632,1001.21
1.359896183,0.8629903,5.480798,0.4829388,0.01574753,0.9690011,0.1446885,7.680789,-23.37535,-31.19632,1001.21
1.380080223,0.556614,5.062417,0.6660385,0.008402284,1.017719,0.1558818,7.680789,-23.37535,-31.19632,1001.208
1.400264263,-0.1174138,4.584267,0.9712046,0.01369989,1.018195,0.164642,7.680789,-23.37535,-31.19632,1001.208
1.420448303,0.1889624,4.584267,0.6660385,0.01155268,0.9567023,0.1571025,7.682433,-23.3738,-31.63545,1001.21
1.440631867,0.6178893,5.002648,0.7270717,0.03092521,0.989951,0.1557858,7.682433,-23.3738,-31.63545,1001.21
1.460816383,0.6791645,5.241724,0.8491381,-0.006194554,0.9884457,0.1543507,7.682433,-23.3738,-31.63545,1001.206
1.481000424,0.4340635,4.106117,0.8491381,-0.02104045,0.9802747,0.1255022,7.682433,-23.3738,-31.63545,1001.206
1.501184464,0.556614,4.046348,0.4829388,0.02018807,0.9608894,0.1386824,7.682433,-23.3738,-31.63545,1001.21
1.521368504,0.3115129,3.926811,0.7270717,0.02249886,0.9691109,0.1437076,8.032853,-22.63777,-31.1951,1001.21
1.541552544,0.06641194,3.867042,0.8491381,0.01790633,0.9888968,0.1937378,8.032853,-22.63777,-31.1951,1001.206
1.559213162,-0.3012396,3.747504,0.9712046,0.00229882,0.9239001,0.1773901,8.414034,-23.00813,-31.19349,1001.206
1.579397679,-0.1174138,3.687736,0.6660385,0.03163917,0.9703331,0.180699,8.414034,-23.00813,-31.19349,1001.206
1.599581719,0.06641194,4.046348,1.215338,0.02092494,0.9789326,0.1769922,8.414034,-23.00813,-31.19349,1001.206
1.619765282,0.3115129,5.062417,1.154304,-0.02097663,1.014531,0.1402911,8.052264,-23.3764,-31.19484,1001.206
1.639949322,0.1276872,4.823342,1.215338,0.0001478111,0.9820009,0.1785432,8.052264,-23.3764,-31.19484,1001.206
1.660133362,0.1276872,4.464729,0.6050053,0.04566948,0.9269129,0.1827386,8.795216,-23.3785,-31.19188,1001.206
1.680317402,0.3115129,5.361261,0.8491381,0.0502282,0.9884704,0.1873563,8.795216,-23.3785,-31.19188,1001.204
1.700500965,0.2502377,5.719873,1.032238,0.02607545,0.9518418,0.1803412,8.795216,-23.3785,-31.19188,1001.204
1.720685005,0.6178893,5.122186,0.8491381,0.01720731,1.007812,0.1420484,8.053908,-23.37485,-31.63397,1001.206
1.740869045,0.556614,6.078486,0.788105,0.05352473,0.9955572,0.1617026,8.053908,-23.37485,-31.63397,1001.206
1.761053086,0.2502377,6.018717,0.788105,0.005146479,0.967566,0.1758173,8.053908,-23.37485,-31.63397,1001.202
1.781237126,0.4953387,6.496867,0.4829388,0.00419735,0.9659103,0.1947628,8.053908,-23.37485,-31.63397,1001.202
1.801421642,2.211046,7.154324,0.7270717,0.03288332,0.9469295,0.1972645,8.053908,-23.37485,-31.63397,1001.202
1.819082260,-0.4237901,6.556636,0.7270717,0.02686086,0.9661404,0.2054389,8.795216,-23.3785,-31.19188,1001.202
1.839265824,0.4340635,6.915248,1.093271,-0.01570271,1.015958,0.1996752,8.795216,-23.3785,-31.19188,1001.2
1.859449864,0.8629903,7.453167,1.276371,0.01161424,0.991742,0.1417386,8.787154,-23.00764,-31.63114,1001.2
1.879633904,0.3727882,7.991086,1.215338,0.005869437,0.9486914,0.1258108,8.787154,-23.00764,-31.63114,1001.202
1.899817944,0.06641194,7.214092,1.276371,0.001140839,1.020144,0.144749,8.787154,-23.00764,-31.63114,1001.202
1.920002461,0.6178893,6.795711,1.154304,0.03572261,0.9521974,0.1589243,9.104779,-23.37938,-31.19065,1001.206
1.940186501,0.06641194,7.154324,1.032238,0.05317064,0.9848123,0.1697624,9.104779,-23.37938,-31.19065,1001.206
1.960370541,0.1889624,7.512936,1.154304,0.04020157,0.9820589,0.08603408,8.806566,-23.74627,-31.63088,1001.198
1.980554104,0.1276872,7.991086,1.154304,0.02022481,0.9581088,0.1259761,8.806566,-23.74627,-31.63088,1001.198
2.000738144,0.3727882,7.572705,1.45947,-0.02688135,0.9438232,0.1768541,9.104779,-23.37938,-31.19065,1001.198
2.020922184,0.005136684,7.273861,1.032238,-0.02403685,0.9475815,0.1929817,9.104779,-23.37938,-31.19065,1001.198
2.041106224,-0.05613857,6.078486,0.8491381,0.0001163228,0.9455692,0.1388953,9.104779,-23.37938,-31.19065,1001.198
2.061289787,0.3115129,5.540567,0.238806,0.08576218,0.9630487,0.1167325,8.79686,-23.37695,-31.63101,1001.198
2.081473827,0.3727882,5.899179,0.6660385,0.05698648,0.9891547,0.1284829,8.79686,-23.37695,-31.63101,1001.2
2.101657867,0.556614,5.899179,0.4829388,0.01497433,0.9537724,0.1156797,9.468193,-23.00957,-31.62843,1001.2
2.119318962,0.2502377,5.958949,0.788105,0.007633617,1.001895,0.1380527,9.468193,-23.00957,-31.62843,1001.199
2.139503002,0.3727882,5.540567,0.6050053,0.001788858,0.9670637,0.1237475,9.468193,-23.00957,-31.62843,1001.199
2.159687042,0.4953387,5.540567,0.7270717,-0.01013301,0.9962668,0.09271479,9.497337,-24.05441,-32.0672,1001.193
2.179871082,0.8629903,5.600336,0.6660385,-0.003836775,1.033411,0.1187432,9.497337,-24.05441,-32.0672,1001.193
2.200054646,0.1889624,5.480798,0.9101714,0.01477442,0.9702113,0.1189248,9.116129,-23.74714,-31.62965,1001.191
2.220238686,0.4340635,4.823342,0.7270717,0.02501418,1.000921,0.1156249,9.116129,-23.74714,-31.62965,1001.191
2.240422726,0.1276872,4.94288,0.788105,0.0395477,0.9950101,0.1471147,9.116129,-23.74714,-31.62965,1001.195
2.260606766,0.3115129,4.94288,0.6660385,0.03078864,1.000961,0.1691417,9.468193,-23.00957,-31.62843,1001.195
2.280791283,0.1276872,4.464729,0.6050053,-0.01283743,0.9798492,0.1318074,9.468193,-23.00957,-31.62843,1001.193
2.300975323,0.6178893,4.165886,0.5439721,0.01197729,0.9626118,0.09931505,9.095074,-23.01006,-31.19078,1001.193
2.321159363,0.1889624,4.345192,0.7270717,0.02400571,1.004056,0.1400177,9.095074,-23.01006,-31.19078,1001.191
2.341342926,0.2502377,5.062417,0.788105,0.03101714,1.021684,0.180743,9.095074,-23.01006,-31.19078,1001.191
