Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.01126455,0.05067389,-0.07497869,0.01365275,0.9824088,0.1576082,4.042214,-24.0454,-30.26963,1001.391
0.020183086,-0.0499813,-0.06899093,0.1082901,0.01509909,0.9824013,0.1605255,4.042214,-24.0454,-30.26963,1001.391
0.040366650,0.01120789,-0.009217832,-0.07492812,0.0121992,0.9827896,0.1658899,4.042214,-24.0454,-30.26963,1001.391
0.060550213,0.07237798,-0.009157214,0.1081489,0.01749908,0.9834539,0.1556769,4.043623,-24.04408,-30.64602,1001.393
0.080733776,0.07242709,0.110347,0.04705493,0.01264163,0.9862933,0.1552537,4.043623,-24.04408,-30.64602,1001.393
0.098394394,0.01106972,0.1100858,0.1081573,0.01847458,0.9824417,0.1614945,4.416744,-24.04358,-31.08368,1001.395
0.118577480,0.01109964,-0.009409253,0.04694838,0.01168832,0.985262,0.1601005,4.416744,-24.04358,-31.08368,1001.395
0.138761044,0.01107182,-0.1888231,-0.01406866,0.01310607,0.9877391,0.1567414,4.416744,-24.04358,-31.08368,1001.395
0.158944607,0.07212695,-0.009549357,0.2300995,0.01652259,0.9843842,0.1581297,4.054974,-24.41185,-31.08503,1001.395
0.179128170,0.01080526,-0.009525329,0.04692036,0.010236,0.9857442,0.1581658,4.054974,-24.41185,-31.08503,1001.395
0.199311256,0.01087424,0.05024858,-0.01405841,0.01461692,0.982399,0.1600396,4.4151,-24.04513,-30.64455,1001.395
0.219495297,0.01086613,0.05006613,0.04704848,0.01027726,0.9823684,0.1566392,4.4151,-24.04513,-30.64455,1001.395
0.239678383,0.01081962,-0.129272,-0.07498281,0.0116477,0.9886912,0.1562757,4.4151,-24.04513,-30.64455,1001.395
0.259861946,0.01063857,0.2891524,0.04700372,0.01222378,0.9809438,0.1566082,3.680444,-24.41367,-30.27098,1001.395
0.280045509,-0.05060571,-0.06964197,-0.01414753,0.01267609,0.9833244,0.1615205,3.680444,-24.41367,-30.27098,1001.395
0.300229073,-0.1732407,0.109614,-0.01426531,0.01073578,0.9842935,0.158623,4.053329,-24.41339,-30.6459,1001.39
0.320412159,-0.1117805,0.04977641,-0.01421031,0.01214121,0.987691,0.1601479,4.053329,-24.41339,-30.6459,1001.39
